keys	action	replacement
Abaris	preserve	
Akal	preserve	
Alabama	preserve	
Alala	preserve	
Altair	preserve	
Amabel	preserve	
Amadis	preserve	
Amati	preserve	
Ancha	preserve	
Andriana	preserve	
Andy	preserve	
Angela	preserve	
Angka	preserve	
Antiguan	preserve	
Antisi	preserve	
Chamaeleo	preserve	
Chane	preserve	
Clematis	preserve	
Cocytus	preserve	
Codrus	preserve	
Cofane	preserve	
Corema	preserve	
Diapensia	preserve	
Dickensiana	preserve	
Dido	preserve	
Discordia	preserve	
Ejam	preserve	
Eucosia	preserve	
Eurus	preserve	
Fidele	preserve	
Flavian	preserve	
For	preserve	
Furlan	preserve	
Gigi	preserve	
Gogo	preserve	
Goshen	preserve	
Guana	preserve	
Guato	preserve	
Qoftpa	correct	뺄셈
Qorl	correct	빼기
Qorldyd	correct	빼기용
Rosabel	preserve	
Russian	preserve	
Russify	preserve	
Rusty	preserve	
Shai	preserve	
Shandy	preserve	
Shanghai	preserve	
Shari	preserve	
Shavian	preserve	
Shawn	preserve	
Sia	preserve	
Siryan	preserve	
Sitkan	preserve	
Sleb	preserve	
Suto	preserve	
Suzan	preserve	
Thalesian	preserve	
Thasian	preserve	
Theodosian	preserve	
Thorlgud	correct	쐐기형
Visigoth	preserve	
Vitis	preserve	
Witoto	preserve	
Zirian	preserve	
Zyryan	preserve	
aba	preserve	
absent	preserve	
absorb	preserve	
absorbent	preserve	
ahazoa	correct	몸캠
ahem	preserve	
ahemfh	correct	모드로
ahems	correct	모든
ahen	correct	모두
airan	preserve	
airtight	preserve	
ajacna	correct	멈춤
ajaja	preserve	
akcla	correct	마침
akclavy	correct	마침표
akclavyfh	correct	마침표로
akdyxm	correct	마요트
ake	preserve	
akek	correct	마다
akemflem	correct	마드리드
akrek	correct	막다
akreo	correct	막대
akreogud	correct	막대형
akreork	correct	막대가
akreosk	correct	막대나
aksemf	correct	만들
aksemfek	correct	만들다
aksems	correct	만든
aksfy	correct	만료
akskak	correct	마나마
aksska	correct	만남
aktuf	correct	마셜
alaks	correct	미만
alan	preserve	
alckadu	correct	미참여
alebench	preserve	
alel	correct	미디
alem	preserve	
alfeo	correct	밀대
alflemerl	correct	미리듣기
alfo	correct	미래
algoruf	correct	미해결
alright	preserve	
alth	correct	미소
altodanf	correct	미생물
alvus	preserve	
alxaus	correct	밑면
amapa	preserve	
amen	preserve	
amental	preserve	
anabasis	preserve	
anaclasis	preserve	
anathema	preserve	
anatheme	preserve	
ancientry	preserve	
ancoral	preserve	
