id	direction	physical_keys	expected_action	expected_original	expected_replacement	category
tune-lk-001	latin_to_korean	qlfem	correct	qlfem	빌드	korean_target_loanword
tune-lk-002	latin_to_korean	gksk	correct	gksk	하나	korean_target_open_syllables
tune-lk-003	latin_to_korean	qkfto	correct	qkfto	발새	q_without_u
tune-lk-004	latin_to_korean	dhcp	correct	dhcp	오체	lowercase_acronym_policy
tune-lk-005	latin_to_korean	skql	correct	skql	나비	korean_target_open_syllables
tune-lk-006	latin_to_korean	dho	correct	dho	왜	short_korean_target
tune-lk-007	latin_to_korean	GKSK	preserve	GKSK	-	all_caps_acronym
tune-lk-008	latin_to_korean	DHCP	preserve	DHCP	-	all_caps_protocol
tune-lk-009	latin_to_korean	hello	preserve	hello	-	common_english_word
tune-lk-010	latin_to_korean	rohan	preserve	rohan	-	english_name
tune-lk-011	latin_to_korean	npm	preserve	npm	-	technical_token
tune-lk-012	latin_to_korean	mkdir	preserve	mkdir	-	cli_token
tune-lk-013	latin_to_korean	Mackor	preserve	Mackor	-	mixed_case_product_name
tune-lk-014	latin_to_korean	OpenAI	preserve	OpenAI	-	mixed_case_product_name
tune-kl-001	korean_to_latin	but	correct	ㅠㅕㅅ	but	short_english_target
tune-kl-002	korean_to_latin	can	correct	ㅊ무	can	short_english_target
tune-kl-003	korean_to_latin	hello	correct	ㅗ디ㅣㅐ	hello	common_english_target
tune-kl-004	korean_to_latin	asd	preserve	ㅁㄴㅇ	-	keyboard_walk_pure_jamo
tune-kl-005	korean_to_latin	asdf	preserve	ㅁㄴㅇㄹ	-	keyboard_walk_pure_jamo
tune-kl-006	korean_to_latin	eee	preserve	ㄷㄷㄷ	-	repeated_jamo
tune-kl-007	korean_to_latin	zz	preserve	ㅋㅋ	-	jamo_expression
tune-kl-008	korean_to_latin	dkssudg	preserve	안녕ㅎ	-	trailing_jamo_expression
tune-kl-009	korean_to_latin	dkb	preserve	아ㅠ	-	trailing_jamo_expression
