id	direction	physical_keys	expected_action	expected_original	expected_replacement	expected_tier	rule
k2l-consonantJamoMash-000	korean_to_latin	ast	preserve	-	-	-	consonantJamoMash
k2l-consonantJamoMash-001	korean_to_latin	cader	preserve	-	-	-	consonantJamoMash
k2l-consonantJamoMash-002	korean_to_latin	caged	preserve	-	-	-	consonantJamoMash
k2l-consonantJamoMash-003	korean_to_latin	case	preserve	-	-	-	consonantJamoMash
k2l-consonantJamoMash-004	korean_to_latin	caw	preserve	-	-	-	consonantJamoMash
k2l-consonantJamoMash-005	korean_to_latin	dags	preserve	-	-	-	consonantJamoMash
k2l-consonantJamoMash-006	korean_to_latin	darts	preserve	-	-	-	consonantJamoMash
k2l-consonantJamoMash-007	korean_to_latin	daw	preserve	-	-	-	consonantJamoMash
k2l-consonantJamoMash-008	korean_to_latin	daze	preserve	-	-	-	consonantJamoMash
k2l-consonantJamoMash-009	korean_to_latin	deg	preserve	-	-	-	consonantJamoMash
k2l-consonantJamoMash-010	korean_to_latin	eva	preserve	-	-	-	consonantJamoMash
k2l-consonantJamoMash-011	korean_to_latin	farse	preserve	-	-	-	consonantJamoMash
k2l-consonantJamoMash-012	korean_to_latin	faze	preserve	-	-	-	consonantJamoMash
k2l-consonantJamoMash-013	korean_to_latin	gare	preserve	-	-	-	consonantJamoMash
k2l-consonantJamoMash-014	korean_to_latin	gave	preserve	-	-	-	consonantJamoMash
k2l-consonantJamoMash-015	korean_to_latin	gaz	preserve	-	-	-	consonantJamoMash
k2l-consonantJamoMash-016	korean_to_latin	ges	preserve	-	-	-	consonantJamoMash
k2l-consonantJamoMash-017	korean_to_latin	rave	preserve	-	-	-	consonantJamoMash
k2l-consonantJamoMash-018	korean_to_latin	rax	preserve	-	-	-	consonantJamoMash
k2l-consonantJamoMash-019	korean_to_latin	rect	preserve	-	-	-	consonantJamoMash
k2l-consonantJamoMash-020	korean_to_latin	ref	preserve	-	-	-	consonantJamoMash
k2l-consonantJamoMash-021	korean_to_latin	sacred	preserve	-	-	-	consonantJamoMash
k2l-consonantJamoMash-022	korean_to_latin	scat	preserve	-	-	-	consonantJamoMash
k2l-consonantJamoMash-023	korean_to_latin	sew	preserve	-	-	-	consonantJamoMash
k2l-consonantJamoMash-024	korean_to_latin	strade	preserve	-	-	-	consonantJamoMash
