Qoftpa	뺄셈
Qorl	빼기
Qorldyd	빼기용
QydQyd	뿅뿅
Thorlgud	쐐기형
ahazoa	몸캠
ahejs	모던
ahem	모드
ahemfh	모드로
ahems	모든
ahen	모두
ajacna	멈춤
ajrek	먹다
akcla	마침
akclavy	마침표
akclavyfh	마침표로
akdyxm	마요트
akek	마다
akemflem	마드리드
akrek	막다
akreo	막대
akreogud	막대형
akreork	막대가
akreosk	막대나
aksemf	만들
aksemfek	만들다
aksems	만든
aksfy	만료
akskak	마나마
aksska	만남
aktuf	마셜
alRl	미끼
alaks	미만
alckadu	미참여
alel	미디
alem	미드
alfeo	밀대
alflemerl	미리듣기
alfo	미래
algoruf	미해결
alth	미소
altodanf	미생물
alxaus	밑면
androek	뭉개다
aneks	무단
anem	무드
anerh	묻고
anerl	묻기
anewl	묻지
anffhs	물론
anffla	물림
anfro	물개
anfruf	물결
anfrufvy	물결표
anfy	무료
anfyfh	무료로
angks	무한
angkseo	무한대
angyrk	무효가
anjgoanjgo	뭐해뭐해
ansaor	문맥
anstjaks	문서만
apahaks	메모만
apflek	메리다
apstus	멘션
aptjem	메서드
aptjemsk	메서드나
aucauc	몇몇
audauf	명멸
auddyd	명용
audeks	명단
audfud	명령
audfuddjaks	명령어만
audvo	명패
cheo	초대
cheork	초대가
chleo	최대
chleoghk	최대화
clago	침해
clagork	침해가
clek	치다
coan	채무
codna	채움
codyd	채용
cofh	채로
corejal	책더미
coxja	채텀
dico	야채
didaus	양면
diddma	양음
didsua	양념
didths	양손
dirghs	약혼
dirn	야구
dirrhks	약관
dirrks	약간
dirvna	약품
ditodak	야생마
dodanto	앵무새
dofxh	앨토
dortus	액션
dory	애교
duath	염소
dudans	영문
duddid	영양
duddjaks	영어만
duddur	영역
duddurdpaks	영역에만
duddurgud	영역형
duddurrhk	영역과
dudgid	영향
dudi	여야
dufaks	열만
dufaus	열면
dufck	열차
dufek	열다
duffh	열로
duffka	열람
duffla	열림
duffu	열려
duffurh	열려고
dufma	여름
dugod	여행
duqor	여백
duqorgud	여백형
duranfrufvy	역물결표
durk	여가
durl	여기
durlfh	여기로
durnjs	여권
duror	여객
durrkaak	역감마
durrkfaorlgud	역갈매기형
durrl	역기
dusdo	연애
dusen	연두
dusentor	연두색
duseo	연대
dusfud	연령
dusfy	연료
dusruf	연결
dusrufgo	연결해
dusrufgodi	연결해야
duvaus	옆면
duwk	여자
dyddka	용암
dyddor	용액
dydfid	용량
dydir	요약
dydirehody	요약돼요
dydirgo	요약해
dydma	요음
dyfmeks	요르단
dyrhf	요골
dyrma	요금
dyrmawp	요금제
dyrn	요구
dyth	요소
dythakek	요소마다
dythaks	요소만
dythfh	요소로
dythsk	요소나
dywjarhk	요점과
ehakqoa	도마뱀
ehalsh	도미노
ehedna	돋움
ehowl	돼지
ehowlrhrl	돼지고기
ejal	더미
ejgo	더해
ekaks	다만
ekaqo	담배
ekarls	담긴
ekedma	닫음
ekedmaus	닫으면
ekeek	닫다
ekegla	닫힘
ekegu	닫혀
ekemarl	다듬기
ekerh	닫고
ekerl	닫기
ekerlfh	닫기로
ekfadma	닮음
ekfaus	달면
ekfflaus	달리면
ekfflek	달리다
ekffur	달력
ekfrif	달걀
ekstor	단색
ekstorgud	단색형
eksustod	다년생
ekth	다소
elrkaak	디감마
emddpaks	등에만
emdeo	등대
emdskan	등나무
emerh	듣고
emerl	듣기
emffu	들려
emfja	드럼
emfkak	드라마
emform	드래그
emfu	드려
emfudy	드려요
enemflek	두드리다
enfWo	둘째
enffp	둘레
enfnal	두루미
enrorhf	두개골
epsla	데님
flak	리마
flaks	리만
flema	리듬
foavm	램프
foemdnem	래드우드
foseja	랜덤
ghoteo	횃대
gidgo	향해
glaemf	힘들
glasody	힘내요
gnaus	후면
godaks	행만
godfuf	행렬
godfufgud	행렬형
godi	해야
godid	해양
gody	해요
gorhf	해골
gorns	해군
gortla	핵심
goruf	해결
gorufcor	해결책
gorufgo	해결해
gorufgodi	해결해야
gosemf	핸들
gosemffh	핸들로
gotnaus	해수면
gowk	해자
gowl	해지
gowlrk	해지가
gowntudi	해주셔야
gowp	해제
gowpgo	해제해
gowpgodi	해제해야
goxm	해트
gusalrud	현미경
guseogud	현대형
guswo	현재
gyrhk	효과
qoduf	배열
qoduffh	배열로
qoraks	백만
qorduf	백열
qorhks	배관
qorp	배게
qorrhk	백과
qorud	배경
qorudtor	배경색
qorudtorrhk	배경색과
qosem	밴드
qowl	배지
qoxm	배트
qoxmaos	배트맨
rhals	고민
rhans	고문
rhauddka	고명암
rhelr	고딕
rhemd	고등
rheodur	고대역
roaks	개만
roal	개미
rocpaks	개체만
rody	개요
rodyfh	개요로
rodyrk	개요가
roek	개다
rofh	개로
rorck	객차
rork	개가
rosua	개념
rosuarhk	개념과
rownf	개줄
ruRrh	겪고
rudfur	경력
rudwod	경쟁
rufghs	결혼
rusid	겨냥
ruwktor	겨자색
ryck	교차
ryckgo	교차해
ryghks	교환
shem	노드
shemdpaks	노드에만
shemdudi	노드여야
shemfh	노드로
sidtod	냥생
skadma	남음
skaks	나만
skan	나무
skancor	나무책
skarla	남김
skarlf	남길
skarlrh	남기고
skaruenf	남겨둘
skatneks	남수단
skator	남색
skaus	나면
skawk	남자
slarhk	님과
soRn	내꾸
sodur	내역
sodyd	내용
sodydakek	내용마다
sodydaks	내용만
sodydaus	내용면
sodydeofh	내용대로
sofla	내림
sofurks	내려간
sorhfrur	내골격
sork	내가
sorp	내게
susakek	년마다
sustod	년생
thaud	소명
thauf	소멸
thorhf	쇄골
thro	소개
todaud	생명
todfir	생략
toffjem	샐러드
tofh	새로
toraks	색만
torls	새긴
tormf	새글
torrhk	색과
tywl	쇼지
voem	패드
voffh	팰로
voqo	패배
votus	패션
vudaus	평면
vuddid	평양
vudgod	평행
vudgud	평형
vufcuwla	펼쳐짐
vusanf	편물
vusck	편차
vyfh	표로
vygus	표현
vygusanf	표현물
vyrk	표가
vyrl	표기
vyrlrk	표기가
vysk	표나
vywl	표지
vywlaks	표지만
vywlrk	표지가
vywns	표준
vywnsaks	표준만
vywnsghk	표준화
vywp	표제
whalfy	조미료
whaud	조명
woal	재미
woan	재무
wofy	재료
worh	재고
woro	재개
wotod	재생
wotodgo	재생해
wowlf	재질
wowm	재즈
wyfmel	죠르디
wyfmelrk	죠르디가
