# 게이트를 **사람이 이기는** 목록. 위험을 알고 여는 항목만 적는다.
#
# 왜 필요한가: 자동 게이트(영어사전·Apple 명령어·로케일 코드)는 "이 키열이 다른
# 뜻으로도 쓰인다"를 잡을 뿐, **어느 쪽이 더 자주 쓰이는지는 모른다.** 한국어
# 사용자에게 `이`·`의`·`에`·`도`는 최고빈도 조사인데, 각각 `dl`(HTML)·`dml`(SQL)·
# `dp`(DisplayPort)·`eh`(감탄사)와 부딪힌다는 이유로 전부 막혔다. 그 저울질은
# 데이터가 아니라 사람이 하는 판단이므로, 판단하는 자리를 따로 만든다.
#
# 규칙
#   - 키열은 **정확히** 적는다. 두벌식에서 Shift 는 다른 자모다(`Eh`=또 ≠ `eh`=도).
#   - 여는 이유와 **무엇을 감수하는지**를 함께 적는다. 감수할 것이 없으면 그건
#     게이트가 잘못 잡은 것이므로 게이트를 고쳐야 한다.
#   - 여기 적으려면 그 한글이 mono-source.ko.tsv 에 선언돼 있어야 한다.
#     (verify 불변식 11 이 강제 — 키열만 적어 아무거나 열 수 없다)
#   - 되돌리기는 줄 하나 지우고 generate 다시 돌리면 끝이다. 코드 변경 0줄.
#
# 위험도
#   높음 = 그 라틴 토큰을 실제로 칠 일이 흔하다. 오교정이 실제로 일어난다.
#   낮음 = 특정 분야 약어라 안 쓰는 사람에겐 순수 이득이다.
keys	risk	reason
dl	낮음	`이` — 충돌 대상은 HTML <dl>·download 약어. 조사 `이`의 빈도가 압도적이다
dml	낮음	`의` — 충돌 대상은 SQL DML. 조사 `의`의 빈도가 압도적이다
dp	낮음	`에` — 충돌 대상은 DisplayPort·동적계획법. 조사 `에`의 빈도가 압도적이다
tl	낮음	`시` — 충돌 대상은 TL;DR 축약. 소문자 단독으로 칠 일이 드물다
ch	낮음	`초` — 충돌 대상은 channel·chapter 축약. 소문자 단독으로 칠 일이 드물다
wp	낮음	`제` — 충돌 대상은 WordPress·well played
gh	낮음	`호` — 충돌 대상은 GitHub CLI. 터미널 밖에서 칠 일이 드물다
sk	낮음	`나` — 충돌 대상은 로케일 코드 sk·SK 표기. 대문자 SK 는 R-D3 가 따로 지킨다
di	낮음	`야` — web2 표제어지만 현대 영어 문장에서 단독으로 쓰지 않는다
sla	낮음	`님` — web2 표제어지만 현대 영어 문장에서 단독으로 쓰지 않는다
sha	낮음	`놈` — web2 표제어지만 현대 영어 문장에서 단독으로 쓰지 않는다
rhe	낮음	`곧` — web2 표제어(의학 접두사). 단독으로 쓰지 않는다
wha	낮음	`좀` — web2 표제어(방언 what). 현대 표기에서 쓰지 않는다
Rho	낮음	`꽤` — 소문자 rho(그리스 문자)와 겹치나 이 키열은 Shift 형이라 표기가 다르다
aht	낮음	`못` — web2 표제어지만 현대 영어에서 쓰지 않는다
ro	보통	`개` — web2 표제어. 단독으로 칠 일은 드물지만 있다
eh	높음	`도` — eh 는 실제로 쓰는 감탄사다. 조사 `도`의 빈도가 훨씬 높다고 보고 연다
Eh	높음	`또` — 위와 같은 판단. 문장 첫머리 대문자 Eh 도 포함된다
go	높음	`해` — 영어 문장 중 `go ` 를 치면 `해` 로 바뀐다. 목록에서 가장 위험한 항목이며, 그럼에도 `해`의 빈도가 더 높다고 보고 연다. 문제가 생기면 이 줄부터 지운다
# sus	낮음	`년` — 2026-07-25 되돌림. web2 표제어라 열었으나 현대 영어에서
#		'that's sus'로 흔히 쓰고, 결과가 욕설로 읽힐 수 있어 공개 사고 위험이 크다.
